"x","y","Layer","ID","EPL-IN","GC","M-TC","OSNs","PGC","dominant_hat"
12.123,25.002,"GCL",69,0.0670283063593529,0.800645728637122,0.0825205345158836,2.3673770987551e-05,0.0497817567166535,"GC"
12.131,21.968,"MCL",55,0.133739436377957,0.622241199110398,0.106431654624732,4.04714846895729e-05,0.137547238402224,"GC"
12.139,28.005,"GL",260,0.0512125716140896,0.101000699032459,0.577150039961892,1.27982834178102e-05,0.270623891108141,"M-TC"
12.153,24.01,"GCL",60,0.0602746404156312,0.728260730827257,0.13712128169052,2.61330835615271e-05,0.0743172139830304,"GC"
12.211,26.031,"MCL",222,0.131796106792931,0.624154698392083,0.0976494374953272,1.43682644057146e-05,0.146385389055253,"GC"
12.973,18.014,"GL",25,0.0342304946232433,0.0874820163743427,0.758598375049016,0.000166983909790538,0.119522130043607,"M-TC"
13.014,20.919,"MCL",34,0.0903686172286485,0.453905026238462,0.325359173284688,1.05006923673152e-05,0.130356682555834,"GC"
13.045,17.149,"GL",15,0.037422156873342,0.0430612505448713,0.586023194732529,0.0458637778842856,0.287629619964972,"M-TC"
13.048,23.951,"GCL",75,0.0927620793108865,0.555649218527572,0.139888863953336,3.84278853182803e-05,0.211661410322887,"GC"
13.052,25.997,"GCL",224,0.032720971546326,0.785461069458589,0.0634678601334585,4.01081157587886e-06,0.118346088050051,"GC"
13.058,22.014,"GCL",33,0.121918729888088,0.570684528755715,0.186625527196179,1.85942854608534e-06,0.120769354731473,"GC"
13.059,20.044,"MCL",27,0.127847482065787,0.440885062666762,0.228293733223208,3.13483670071015e-05,0.202942373677236,"GC"
13.061,19.072,"MCL",30,0.0936996632809074,0.109943410412982,0.429996512875458,0.000220790698293238,0.366139622732359,"M-TC"
13.067,22.915,"GCL",76,0.0269187994054346,0.657564559241736,0.148148407303493,4.39183948598322e-05,0.167324315654476,"GC"
13.083,15.039,"GL",210,0.0270520939195484,0.249405465710523,0.188106840079374,0.0859973551345276,0.449438245156027,"PGC"
13.087,27.961,"MCL",258,0.0224111689778451,0.281768158641066,0.270038705755254,2.09207371325398e-05,0.425761045888703,"PGC"
13.093,16.033,"GL",200,0.134143102417725,0.0990047027216138,0.229594594467801,0.0421680231665552,0.495089577226305,"PGC"
13.111,24.919,"GCL",79,0.164572566356113,0.554687487636388,0.164309066040163,0.000257203110467432,0.116173676856869,"GC"
13.133,26.968,"MCL",255,0.121344821817647,0.606996939978904,0.171044900773573,8.63112611999689e-06,0.100604706303756,"GC"
13.941,25.99,"GCL",223,0.10234171521284,0.519895447316988,0.160311331282818,0.000202266255948634,0.217249239931405,"GC"
13.969,21.05,"GCL",31,0.0796549801022735,0.728548164560025,0.121248236737709,7.25002376624623e-08,0.0705485460997542,"GC"
13.973,15.034,"GL",211,0.133579588527558,0.0482289214828305,0.587733917835437,0.0715607678166256,0.158896804337549,"M-TC"
13.979,26.983,"GCL",257,0.044398211418267,0.674773342955568,0.187610640221294,5.42621255454993e-06,0.0932123791923163,"GC"
14.004,20.024,"MCL",29,0.0884426815452719,0.567247459811732,0.209063979663557,0.00121432352674376,0.134031555452696,"GC"
14.008,16.038,"MCL",201,0.105497984684319,0.176091374196396,0.332899220277191,0.00016316456218871,0.385348256279904,"PGC"
14.013,19.054,"MCL",28,0.0740433927705999,0.231202699668203,0.501991504794865,3.12297011616323e-06,0.192759279796215,"M-TC"
14.014,17.063,"MCL",16,0.0559884672961083,0.242922260874645,0.265727064844347,4.203158026796e-05,0.435320175404632,"PGC"
14.015,14.092,"GL",219,0.0399322580277538,0.284176123126788,0.244014904854366,0.00632160836223767,0.425555105628854,"PGC"
14.048,22.95,"GCL",78,0.146164398640744,0.488684772612328,0.150488499690922,0.00014264959081735,0.214519679465188,"GC"
14.05,23.965,"GCL",77,0.0614980367157205,0.441822890541919,0.244297000997504,0.0323166663369898,0.220065405407867,"GC"
14.058,28.995,"GL",266,0.149702308295702,0.303104460356253,0.356082400475295,0.00310424324220798,0.188006587630543,"M-TC"
14.069,21.943,"GCL",32,0.154358674971705,0.629936703663437,0.0862020715078577,7.19439573559415e-06,0.129495355461265,"GC"
14.07,18.032,"MCL",26,0.0899298206476846,0.221602862926417,0.559485944151921,4.77541658428064e-05,0.128933618108135,"M-TC"
14.07,27.899,"MCL",256,0.0536021137725531,0.13298966536641,0.653297768379482,2.27002365525555e-05,0.160087752245003,"M-TC"
14.085,24.905,"GCL",80,0.104499278583345,0.656080008371714,0.0954957677103424,0.000545059289200171,0.143379886045399,"GC"
15.001,16.014,"MCL",203,0.115450112301447,0.39948784448702,0.334070648644957,3.8201362612483e-05,0.150953193203962,"GC"
15.009,22.966,"GCL",73,0.124164889594851,0.599342207146832,0.163003498150654,3.66125429994137e-06,0.113485743853363,"GC"
